event_id,event_date,event_title,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,longitude,latitude
1322,11/22/2009 12:00:00 AM,"(below Lae Pondom protected forest hilly area) Silalahi III village, Silahisabungan sub district, Dairi District, North Sumatra province","(below Lae Pondom protected forest hilly area) Silalahi III village, Silahisabungan sub district, Dairi District, North Sumatra province",5km,landslide,downpour,medium,unknown,3,,,,glc,1322,Indonesia,ID,North Sumatra,0,Sumbul,16.44877,98.5333,2.8
8841,01/16/2011 04:20:00 PM,"OR 34, milepost 8","OR 34, milepost 8",exact,landslide,unknown,unknown,above_road,0,0,,,glc,8841,United States,US,Oregon,2033,Waldport,11.29653,-123.9328,44.3978
8973,11/27/2015 12:00:00 AM,Molise,Molise,25km,rock_fall,rain,small,natural_slope,1,1,,,glc,8973,Italy,IT,Molise,669,Limosano,3.41218,14.5982,41.6507
4859,05/11/2013 12:00:00 AM,"Sarania Hills, North Guwahati, Guwahati, Assam,","Sarania Hills, North Guwahati, Guwahati, Assam,",5km,landslide,rain,medium,unknown,,1,,,glc,4859,India,IN,Assam,899094,Guwahati,1.62505,91.7599,26.1771
3530,05/23/2011 12:00:00 AM,"Maragusan, COMVAL","Maragusan, COMVAL",25km,landslide,tropical_cyclone,medium,unknown,0,,Typhoon Chedeng (Songda),,glc,3530,Philippines,PH,Davao,18668,San Mariano,23.62322,126.1544,7.3521
9329,02/22/2016 12:00:00 AM,Kyle,Kyle,1km,rock_fall,rain,small,above_road,0,0,,,glc,9329,United States,US,West Virginia,2406,Welch,14.29422,-81.4261,37.4082
6307,10/12/2014 12:00:00 AM,Putupadal gram panchayat in Nuagada block,Putupadal gram panchayat in Nuagada block,25km,landslide,tropical_cyclone,medium,unknown,0,0,Hudhud,,glc,6307,India,IN,Odisha,22264,Gunupur,25.57221,84.0502,19.1008
2536,10/03/2010 07:00:00 PM,Sakleshpur : A landslide at Sirivagilu near Subramanya forced cancellation of Kannur-Yeshwanthpur train on Sunday evening. A retaining wall built nea*,,50km,landslide,unknown,medium,unknown,0,,,,glc,2536,India,IN,Karnataka,24931,Sakleshpur,27.99881,75.5844,12.7796
6939,04/27/2014 12:00:00 AM,"East Cowes Seafront, part of the iron barrier which contains the woodland","East Cowes Seafront, part of the iron barrier which contains the woodland",1km,landslide,continuous_rain,small,above_road,0,0,,,glc,6939,United Kingdom,GB,England,6166,East Cowes,1.13851,-1.2786,50.766
7613,08/08/2015 12:00:00 AM,Jammu-Srinagar National Highway at Kheri in Udhampur district,Jammu-Srinagar National Highway at Kheri in Udhampur district,10km,landslide,downpour,medium,above_road,0,0,,,glc,7613,India,IN,Kashmir,80447,Udhampur,9.94186,75.1994,32.9961
5937,03/08/2014 12:00:00 AM,"28569-29011 Redondo Way S Des Moines, WA 98198","28569-29011 Redondo Way S Des Moines, WA 98198",1km,mudslide,downpour,medium,above_road,0,0,,,test,5937,United States,US,Washington,89306,,2.86048,-122.3217,47.3473
6377,11/08/2014 02:00:00 PM,Bridal Veil Falls Provincial Park,Bridal Veil Falls Provincial Park,1km,landslide,rain,small,natural_slope,0,0,,,glc,6377,Canada,CA,British Columbia,4738,Agassiz,6.27982,-121.7407,49.1797
1699,04/06/2010 12:00:00 AM,"Hill of Babylon village hosue, Roberto Dias Lopes rd","Hill of Babylon village hosue, Roberto Dias Lopes rd",1km,landslide,downpour,medium,unknown,0,,,,glc,1699,Brazil,BR,Rio de Janeiro,6023699,Rio de Janeiro,7.41844,-43.1737,-22.962
2483,09/21/2010 12:00:00 AM,"Xinyi Yinyan mine(?), Pingtang village, Qianbai township(?), Xinyi city, Guangdong province","Xinyi Yinyan mine(?), Pingtang village, Qianbai township(?), Xinyi city, Guangdong province",5km,landslide,tropical_cyclone,medium,unknown,0,,Typhoon Fanapi,,glc,2483,China,CN,Guangdong,0,Pingtang,0.97864,111.3604,22.4827
4172,01/27/2012 12:00:00 AM,Upper Wilsons Creek Rd,Upper Wilsons Creek Rd,5km,landslide,downpour,medium,unknown,0,,,,glc,4172,Australia,AU,New South Wales,1190,Burringbar,13.62463,153.3923,-28.5358
8657,03/13/2012 07:39:00 AM,"OR 241, milepost 3","OR 241, milepost 3",exact,landslide,unknown,unknown,above_road,0,0,,,glc,8657,United States,US,Oregon,1444,Bunker Hill,3.50036,-124.1619,43.3593
9130,12/30/2015 12:00:00 AM,Craigdarroch Drive junction in Contin,Craigdarroch Drive junction in Contin,1km,landslide,unknown,small,below_road,0,0,,,glc,9130,United Kingdom,GB,Scotland,2665,Conon Bridge,9.70568,-4.5973,57.579
834,10/10/2008 12:00:00 AM,"Jalan Tun Sardon road, Balik Pulau, Penang","Jalan Tun Sardon road, Balik Pulau, Penang",10km,landslide,downpour,medium,unknown,,,,,glc,834,Malaysia,MY,Pulau Pinang,140849,Kampung Sungai Ara,2.6762,100.266,5.35
6069,06/19/2014 11:00:00 PM,Pyuthan District,Pyuthan District,25km,landslide,rain,medium,unknown,9,0,,,glc,6069,Nepal,NP,Mid Western,0,Pyūthān,22.10429,82.68,28.0054
2664,10/31/2010 08:00:00 AM,"Galera rd and Toco main road, Toco village","Galera rd and Toco main road, Toco village",5km,landslide,tropical_cyclone,medium,unknown,0,,Hurricane Tomas,,glc,2664,Trinidad and Tobago,TT,Sangre Grande,15968,Sangre Grande,33.51924,-60.9436,10.8334
2592,10/12/2010 12:00:00 AM,"Bunta village, Central Sulawesi regency, Morowali","Bunta village, Central Sulawesi regency, Morowali",25km,landslide,downpour,medium,unknown,9,,,,glc,2592,Indonesia,ID,Central Sulawesi,47778,Luwuk,67.47257,122.1815,-0.936
